Element	MEE	f sum	N-R deviation
H	1.4951e+01	1.00	1.00
He	5.9842e+01	1.00	1.00
Li	1.3468e+02	1.00	1.00
Be	2.3948e+02	1.00	1.00
B	3.7430e+02	1.00	1.00
C	5.3917e+02	1.00	1.00
N	7.3417e+02	1.00	1.00
O	9.5934e+02	1.00	1.00
F	1.2148e+03	1.00	1.00
Ne	1.5005e+03	1.00	1.00
Na	1.8167e+03	1.00	1.00
Mg	2.1633e+03	1.00	1.00
Al	2.5404e+03	1.00	1.01
Si	2.9483e+03	1.00	1.01
P	3.3868e+03	1.00	1.01
S	3.8561e+03	1.00	1.01
Cl	4.3563e+03	1.00	1.01
Ar	4.8874e+03	1.00	1.01
K	5.4496e+03	1.00	1.01
Ca	6.0429e+03	0.99	1.01
Sc	6.6674e+03	0.99	1.01
Ti	7.3232e+03	0.99	1.01
V	8.0104e+03	0.99	1.01
Cr	8.7291e+03	0.99	1.01
Mn	9.4793e+03	0.99	1.01
Fe	1.0261e+04	0.99	1.02
Co	1.1075e+04	0.99	1.02
Ni	1.1920e+04	0.98	1.02
Cu	1.2798e+04	0.98	1.02
Zn	1.3707e+04	0.98	1.02
Ga	1.4649e+04	0.98	1.02
Ge	1.5623e+04	0.98	1.02
As	1.6629e+04	0.98	1.02
Se	1.7668e+04	0.97	1.02
Br	1.8740e+04	0.97	1.02
Kr	1.9844e+04	0.97	1.02
Rb	2.0982e+04	0.97	1.03
Sr	2.2153e+04	0.96	1.03
Y	2.3357e+04	0.96	1.03
Zr	2.4595e+04	0.96	1.03
Nb	2.5867e+04	0.96	1.03
Mo	2.7172e+04	0.95	1.03
Tc	2.8512e+04	0.95	1.03
Ru	2.9886e+04	0.95	1.03
Rh	3.1295e+04	0.94	1.03
Pd	3.2739e+04	0.94	1.03
Ag	3.4218e+04	0.94	1.04
Cd	3.5733e+04	0.93	1.04
In	3.7283e+04	0.93	1.04
Sn	3.8870e+04	0.93	1.04
Sb	4.0494e+04	0.92	1.04
Te	4.2154e+04	0.92	1.04
I	4.3852e+04	0.92	1.04
Xe	4.5587e+04	0.91	1.05
Cs	4.7360e+04	0.91	1.05
Ba	4.9172e+04	0.90	1.05
La	5.1024e+04	0.90	1.05
Ce	5.2915e+04	0.90	1.05
Pr	5.4845e+04	0.89	1.05
Nd	5.6817e+04	0.89	1.06
Pm	5.8829e+04	0.88	1.06
Sm	6.0884e+04	0.88	1.06
Eu	6.2981e+04	0.87	1.06
Gd	6.5121e+04	0.87	1.06
Tb	6.7306e+04	0.87	1.07
Dy	6.9534e+04	0.86	1.07
Ho	7.1809e+04	0.86	1.07
Er	7.4129e+04	0.85	1.07
Tm	7.6497e+04	0.85	1.07
Yb	7.8912e+04	0.84	1.08
Lu	8.1376e+04	0.84	1.08
Hf	8.3891e+04	0.83	1.08
Ta	8.6457e+04	0.83	1.09
W	8.9074e+04	0.82	1.09
Re	9.1745e+04	0.82	1.09
Os	9.4470e+04	0.81	1.09
Ir	9.7252e+04	0.81	1.10
Pt	1.0009e+05	0.80	1.10
Au	1.0299e+05	0.80	1.10
Hg	1.0594e+05	0.79	1.11
Tl	1.0896e+05	0.79	1.11
Pb	1.1204e+05	0.78	1.11
Bi	1.1519e+05	0.77	1.12
Po	1.1840e+05	0.77	1.12
At	1.2168e+05	0.76	1.13
Rn	1.2502e+05	0.76	1.13
