Element	MEE	f sum	MEE_scaling
He	0.0	0.0	0.0
Li	0.0	0.0	0.0
Be	0.0	0.0	0.0
B	0.0	0.0	0.0
C	0.0	0.0	0.0
N	0.0	0.0	0.0
O	0.0	0.0	0.0
F	0.0	0.0	0.0
Ne	1.3800e+03	1.99	0.98
Na	1.6843e+03	1.99	0.98
Mg	2.0191e+03	1.99	0.98
Al	2.3845e+03	1.99	0.99
Si	2.7805e+03	1.99	0.99
P	3.2072e+03	1.99	0.99
S	3.6647e+03	1.99	0.99
Cl	4.1296e+03	2.09	0.99
Ar	4.6723e+03	1.99	0.99
K	5.2223e+03	1.99	1.00
Ca	5.8037e+03	1.99	1.00
Sc	6.4161e+03	1.99	1.00
Ti	7.0597e+03	1.99	1.00
V	7.7346e+03	1.98	1.00
Cr	8.4407e+03	1.98	1.00
Mn	9.1786e+03	1.98	1.00
Fe	9.9478e+03	1.98	1.00
Co	1.0749e+04	1.97	1.01
Ni	1.1581e+04	1.97	1.01
Cu	1.2446e+04	1.97	1.01
Zn	1.3342e+04	1.96	1.01
Ga	1.4271e+04	1.96	1.01
Ge	1.5231e+04	1.96	1.01
As	1.6224e+04	1.95	1.01
Se	1.7250e+04	1.95	1.01
Br	1.8307e+04	1.94	1.01
Kr	1.9397e+04	1.94	1.02
Rb	2.0521e+04	1.94	1.02
Sr	2.1678e+04	1.93	1.02
Y	2.2868e+04	1.93	1.02
Zr	2.4091e+04	1.92	1.02
Nb	2.5347e+04	1.91	1.02
Mo	2.6638e+04	1.91	1.02
Tc	2.7962e+04	1.90	1.02
Ru	2.9321e+04	1.90	1.02
Rh	3.0714e+04	1.89	1.03
Pd	3.2142e+04	1.88	1.03
Ag	3.3605e+04	1.88	1.03
Cd	3.5103e+04	1.87	1.03
In	3.6637e+04	1.86	1.03
Sn	3.8207e+04	1.86	1.03
Sb	3.9813e+04	1.85	1.03
Te	4.1455e+04	1.84	1.03
I	4.3135e+04	1.84	1.04
Xe	4.4852e+04	1.83	1.04
Cs	4.6607e+04	1.82	1.04
Ba	4.8401e+04	1.81	1.04
La	5.0232e+04	1.80	1.04
Ce	5.2100e+04	1.80	1.04
Pr	5.4014e+04	1.79	1.05
Nd	5.5965e+04	1.78	1.05
Pm	5.7957e+04	1.77	1.05
Sm	5.9990e+04	1.76	1.05
Eu	6.2065e+04	1.75	1.05
Gd	6.4183e+04	1.74	1.06
Tb	6.6346e+04	1.74	1.06
Dy	6.8550e+04	1.73	1.06
Ho	7.0801e+04	1.72	1.06
Er	7.3097e+04	1.71	1.06
Tm	7.5440e+04	1.70	1.07
Yb	7.7829e+04	1.69	1.07
Lu	8.0267e+04	1.68	1.07
Hf	8.2755e+04	1.67	1.07
Ta	8.5294e+04	1.66	1.08
W	8.7884e+04	1.65	1.08
Re	9.0526e+04	1.64	1.08
Os	9.3221e+04	1.63	1.09
Ir	9.5973e+04	1.62	1.09
Pt	9.8779e+04	1.61	1.09
Au	1.0164e+05	1.60	1.09
Hg	1.0457e+05	1.59	1.10
Tl	1.0755e+05	1.58	1.10
Pb	1.1058e+05	1.57	1.11
Bi	1.1371e+05	1.55	1.11
Po	1.1688e+05	1.54	1.11
At	1.2013e+05	1.53	1.12
Rn	1.2343e+05	1.52	1.12
